noun2	count	noun1_list
home decor	90	abacuses, albums, apples, aquariums, backscratchers, bananas, birdbaths, birdcages, birdhouses, bolts, bonsai, bow, brooms, bulls, calves, candelabras, candles, candlesticks, cantaloupes, centerpieces, chains, chandeliers, christmas trees, coasters, coils, cornucopias, costumes, crystal balls, cuckoo clocks, curtains, dashboards, doilies, doorknockers, dresses, ducklings, dustpans, elephants, envelopes, figurines, flies, frames, globes, gourds, green beans, highlighters, honey, hourglasses, jelly beans, kegs, lamps, lampshades, lasagna, latches, mirrors, nuts, outfits, peanut butter, pillows, pinecones, pinwheels, place mats, posters, potpourris, puppies, rabbits, rifles, robes, roosters, rugs, scallops, scarecrows, sheeps, ski boots, stained glass, statues, strawberries, stretchers, string cheese, tapestries, terrariums, tridents, trunks, tube tops, vases, wallpapers, weather vanes, whisks, wind chimes, wreaths, zebras
vegetable	83	artichokes, arugula, asparagus, bassoons, beets, bell peppers, bikinis, bok choys, bombs, broccoli, brussels sprouts, bulls, cabbages, calves, cantaloupes, capes, carrots, catfish, cauliflowers, celeries, chickpeas, chives, cilantro, cinnamon, clams, cocktails, corn, crayfish, cucumbers, dynamites, eels, eggplants, elephants, flasks, fruitcakes, garlic, geese, gourds, green beans, honey, jackets, jalapenoes, kale, lasagna, latches, leeks, lettuce, macaroni, maple syrup, mirrors, mussels, noodles, okra, onions, parsley, peas, peppers, pickles, pineapples, potatoes, pumpkins, puppies, rabbits, racks, radishes, rearview mirrors, rhubarbs, scallions, scallops, ski boots, spaghetti, spinach, sprouts, squash, stilettoes, stools, stretchers, sweet potatoes, tomatoes, tridents, tube tops, turkeys, zucchini
accessory	74	abacuses, backscratchers, bananas, bandanas, bassoons, belt buckles, belts, boas, bolo ties, bolts, bonnets, bow, bowties, bracelets, brooches, buckles, bulls, buttons, calves, chains, coils, corsages, cufflinks, cummerbunds, dollhouses, ducklings, dustpans, dynamites, earrings, elephants, envelopes, eye patches, footrests, funnels, glasses, gloves, handkerchiefs, hats, headbands, headdresses, highlighters, honey, insoles, jams, kaleidoscopes, kites, lanyards, latches, maple syrup, margaritas, mirrors, mittens, muffs, nuts, outfits, patches, pinwheels, puppies, purses, roosters, scarves, shawls, sombreros, strawberries, stretchers, suspenders, ties, top hats, tridents, tube tops, visors, watches, whisks, zebras
furniture	72	abacuses, air mattresses, backscratchers, bassinets, bassoons, beanbags, beds, benches, bolts, bookshelves, bulls, bunkbeds, cabinets, calves, cantaloupes, centerpieces, chains, chairs, chests, closets, coat racks, coffee tables, coils, cots, couches, desks, dressers, ducklings, dustpans, elephants, envelopes, filing cabinets, flies, footrests, hammocks, highchairs, highlighters, honey, jackets, jelly beans, lasagna, latches, lecterns, loveseats, maple syrup, margaritas, mattresses, mirrors, mixers, nightstands, nuts, ottoman, puppies, rabbits, racks, recliners, rocking chairs, roosters, scallops, shelves, sofa beds, step stools, stools, strawberries, stretchers, tables, thrones, tridents, tube tops, whisks, workbenches, zebras
dessert	71	appetizers, baklavas, banana splits, banjoes, bassoons, birthday cakes, brownies, bulls, cake mixes, cakes, calves, cantaloupes, caramels, cheesecake, cheeses, chickpeas, chocolates, cookies, crayfish, creme brulee, crepes, cupcakes, donuts, ducklings, dynamites, eclairs, elephants, envelopes, flan, fruitcakes, geese, highlighters, ice creams, ice-cream cones, jackets, lasagna, latches, macaroni, machine guns, mandolins, milkshakes, mirrors, mousse, muffins, noodles, nuts, parfaits, pastries, pickles, pies, popsicles, pudding, rabbits, rifles, roosters, scallops, sheeps, shortbread, ski boots, sorbets, souffles, spaghetti, sundaes, tiramisu, tridents, tube tops, turkeys, wedding cakes, whipped cream, zebras, zucchini
breakfast	69	bacon, bagels, bassoons, brakes, bread, bulls, calves, cantaloupes, cereals, chairs, cheesecake, chickpeas, cinnamon, clams, crayfish, cream cheese, crepes, croissants, donuts, ducklings, eggs, elephants, flies, french fries, fruitcakes, geese, granola, grits, hamburgers, hams, hash browns, honey, jackets, jams, lasagna, macaroni, maple syrup, marmalade, mirrors, muffins, mussels, noodles, oatmeal, omelets, pancakes, pastries, peanut butter, pickles, puppies, rabbits, rearview mirrors, rolls, roosters, sandwiches, sausages, scallops, scones, scrambled eggs, spaghetti, stilettoes, stools, syrups, toast, tridents, turkeys, waffles, yogurts, zebras, zucchini
fruit	67	almonds, apples, artichokes, asparagus, avocados, bananas, bassoons, beans, berries, blackberries, blouses, blueberries, braces, cantaloupes, chairs, cherries, chickpeas, cinnamon, cloves, coconuts, corn, cranberries, ducklings, elephants, figs, fruitcakes, gourds, grapefruits, grapes, jackets, juices, kiwis, lemons, limes, mandolins, mangoes, margaritas, melons, mirrors, mulberries, okra, olives, oranges, papayas, peaches, pears, pecans, pineapples, plums, pomegranates, prunes, puppies, rabbits, racks, raisins, raspberries, saxophones, ski boots, squash, star fruits, strawberries, t-shirts, tomatoes, tridents, turkeys, watermelons, zebras
musical instrument	66	accordions, backscratchers, bagpipes, banjoes, bassoons, bells, bongos, bulls, calves, cellos, chains, chalks, chimes, clarinets, clovers, coils, cymbals, drums, ducklings, dustpans, dynamites, elephants, envelopes, flutes, french horns, generators, gongs, guitars, harmonicas, harps, hearing aids, highlighters, honey, horns, jackets, jelly beans, kazoos, keyboards, latches, mandolins, margaritas, mixers, organs, pianos, projectors, prunes, puppies, rabbits, recorders, roosters, saxophones, scoops, stretchers, swabs, tambourines, triangles, tridents, trombones, trumpets, tubas, tube tops, ukuleles, violins, whisks, xylophones, zebras
toy	65	abacuses, backscratchers, balloons, balls, bassoons, beachballs, bolts, boomerangs, bulls, calves, cantaloupes, chains, coils, crayons, dollhouses, dolls, dreidels, ducklings, dustpans, dynamites, elephants, envelopes, footrests, frisbees, gyroscopes, highlighters, honey, hula hoops, jackets, kaleidoscopes, kites, latches, legos, maple syrup, marbles, margaritas, mirrors, music boxes, noisemakers, noodles, nuts, pinwheels, pogo sticks, puppets, rabbits, rattles, rearview mirrors, robots, rocking horses, roosters, scooters, skateboards, slingshots, spears, squirt guns, stilts, strawberries, stretchers, teddy bears, train sets, tube tops, whisks, whoopee cushions, yo-yos, zebras
toiletry	62	abacuses, backscratchers, bassoons, bolts, bulls, calves, cantaloupes, chains, clippers, coils, combs, crayfish, crows, curling irons, deodorants, diapers, ducklings, dustpans, elephants, envelopes, eyeliners, flatirons, flosses, hairbrush, hairdryers, hairsprays, hawks, highlighters, honey, jackets, kegs, latches, lip balms, lip glosses, lipsticks, makeup, mascaras, nail clippers, nail files, nail polish, nuts, perfumes, puppies, rabbits, razors, roosters, scallops, shaving cream, shower caps, soaps, stilettoes, stretchers, swabs, toilet paper, toothbrushes, toothpaste, toothpicks, tube tops, tweezers, washcloths, whisks, zebras
