noun1	count	noun2_list
dynamites	11	accessory, clothing, food, kitchen equipment, kitchen tool, medical equipment, musical instrument, sea animal, toy, vegetable, weapon
zucchini	11	animal, breakfast, candy, clothing, condiment, container, dessert, food, plant, seafood, tool
lasagna	11	animal, candy, clothing, condiment, container, dessert, food, furniture, kitchen tool, seafood, vegetable
geese	10	animal, bird, breakfast, container, dessert, drink, food, seafood, tool, vegetable
abacuses	10	accessory, animal, clothing, container, electronic device, food, furniture, home decor, tool, weapon
clams	9	animal, breakfast, clothing, container, drink, mammal, seafood, tool, vegetable
nuts	9	accessory, clothing, container, electronic device, home decor, kitchen tool, livestock, tool, women's clothing
toast	9	animal, auto part, breakfast, clothing, container, electronic device, mammal, plant, tool
brooms	9	animal, clothing, container, electronic device, food, home decor, tool, vehicle, weapon
jelly beans	9	animal, candy, clothing, container, food, home decor, mammal, tool, weapon
fruitcakes	9	animal, candy, clothing, container, dessert, food, fruit, seafood, vegetable
cream cheese	9	animal, clothing, condiment, container, electronic device, food, plant, tool, weapon
peas	9	animal, clothing, container, fastener, food, mammal, plant, vegetable, vehicle
pickles	9	animal, candy, clothing, container, food, livestock, mammal, seafood, tool
tea	9	animal, clothing, container, drink, electronic device, fastener, mammal, tool, weapon
bikinis	9	animal, bird, clothing, food, mammal, plant, tool, vegetable, women's clothing
taffy	8	animal, candy, container, food, plant, tool, vehicle, weapon
apples	8	animal, container, electronic device, food, fruit, home decor, tool, vehicle
clovers	8	animal, clothing, container, electronic device, food, musical instrument, plant, tool
spatulas	8	clothing, container, electronic device, food, kitchen tool, office supply, school supply, tool
strawberries	8	accessory, animal, clothing, container, food, fruit, furniture, headwear
ski boots	8	animal, container, dessert, food, footwear, fruit, mammal, vegetable
centerpieces	8	animal, container, electronic device, food, furniture, home decor, jewelry, tool
crows	8	animal, auto part, bird, container, electronic device, food, tool, weapon
creme brulee	7	clothing, food, insect, plant, tool, vehicle, water vehicle
spears	7	animal, clothing, electronic device, medical equipment, toy, vehicle, weapon
stools	7	breakfast, food, furniture, medical equipment, sea animal, seafood, vegetable
lingerie	7	animal, bird, clothing, fastener, food, game, women's clothing
spaghetti	7	breakfast, clothing, dessert, food, seafood, tool, vegetable
eels	7	animal, bird, food, mammal, plant, sea animal, seafood
catfish	7	animal, bird, container, insect, mammal, plant, sea animal
chariots	7	animal, electronic device, food, livestock, tool, vehicle, water vehicle
t-shirts	7	animal, bird, clothing, container, food, fruit, mammal
chalks	7	animal, clothing, electronic device, food, musical instrument, school supply, tool
chickpeas	7	animal, breakfast, container, fastener, food, fruit, vegetable
peanut butter	7	breakfast, clothing, condiment, container, food, tool, vehicle
routers	6	animal, container, food, tool, vehicle, weapon
capes	6	animal, clothing, electronic device, food, outerwear, seafood
test tubes	6	animal, clothing, container, food, mammal, seafood
braces	6	animal, food, fruit, mammal, medical equipment, sea animal
saxophones	6	animal, container, food, fruit, musical instrument, tool
pinwheels	6	accessory, animal, clothing, home decor, tool, toy
blouses	6	animal, clothing, container, food, fruit, mammal
string cheese	6	animal, container, home decor, mammal, tool, vehicle
flies	6	clothing, container, food, furniture, insect, kitchen tool
swabs	6	animal, container, electronic device, musical instrument, toiletry, weapon
bumpers	6	animal, auto part, container, electronic device, food, vehicle
kaleidoscopes	6	accessory, animal, container, food, tool, toy
knobs	6	animal, clothing, food, mammal, seafood, tool
whipped cream	6	clothing, dessert, food, plant, tool, vehicle
squirrels	6	animal, bird, food, insect, mammal, tool
sheeps	6	animal, clothing, dessert, home decor, kitchen tool, livestock
okra	6	animal, condiment, food, fruit, plant, vegetable
mussels	6	animal, breakfast, food, mammal, sea animal, vegetable
tweezers	6	animal, clothing, food, medical equipment, toiletry, tool
macaroni	6	animal, breakfast, clothing, dessert, food, tool
cinnamon	6	animal, breakfast, container, food, seafood, vegetable
kittens	5	animal, clothing, food, mammal, tool
bonnets	5	animal, clothing, container, food, headwear
scoops	5	animal, bird, electronic device, kitchen tool, mammal
sprouts	5	animal, food, plant, tool, vegetable
buses	5	auto part, clothing, container, vehicle, water vehicle
squids	5	bird, food, mammal, sea animal, seafood
funnels	5	accessory, container, food, kitchen tool, tool
cordon bleu sandwiches	5	animal, container, electronic device, tool, vehicle
tongs	5	electronic device, kitchen tool, tool, vehicle, weapon
toasters	5	electronic device, food, kitchen equipment, kitchen tool, tool
scallions	5	animal, food, mammal, plant, vegetable
pocket watches	5	animal, food, jewelry, mammal, seafood
hearing aids	5	clothing, food, medical equipment, musical instrument, vehicle
muffs	5	food, footwear, headwear, outerwear, tool
pineapples	5	animal, food, fruit, mammal, vegetable
racks	5	animal, food, fruit, furniture, vegetable
cocktails	5	animal, clothing, container, drink, vegetable
moles	5	animal, bird, food, insect, mammal
lobsters	5	animal, food, mammal, sea animal, seafood
ostriches	5	animal, bird, container, fastener, mammal
flasks	5	animal, clothing, container, food, mammal
kites	5	accessory, animal, food, tool, toy
peelers	5	animal, electronic device, tool, vehicle, weapon
hooks	5	animal, electronic device, food, tool, vehicle
bats	5	animal, bird, food, insect, mammal
lighter	5	animal, electronic device, food, tool, weapon
mixers	5	food, furniture, kitchen equipment, medical equipment, musical instrument
bombs	4	animal, clothing, mammal, weapon
granola	4	breakfast, food, tool, vehicle
lettuce	4	animal, food, plant, vegetable
triangles	4	animal, medical equipment, musical instrument, tool
gorillas	4	animal, food, mammal, tool
pencils	4	food, office supply, school supply, tool
ballot boxes	4	animal, container, food, mammal
banjoes	4	animal, clothing, food, musical instrument
cheeseburgers	4	animal, electronic device, food, tool
rattles	4	animal, food, tool, toy
mascaras	4	animal, container, food, toiletry
razors	4	animal, mammal, toiletry, tool
swordfish	4	animal, food, sea animal, seafood
celeries	4	animal, condiment, food, vegetable
visors	4	accessory, clothing, headwear, protective clothing
birthday cakes	4	animal, dessert, food, tool
dollhouses	4	animal, clothing, food, tool
undershirts	4	clothing, food, outerwear, women's clothing
chinchillas	4	animal, food, livestock, mammal
corals	4	animal, food, mammal, sea animal
alpacas	4	animal, electronic device, food, mammal
rakes	4	food, garden tool, tool, weapon
birdbaths	4	bird, container, food, home decor
wheelbarrows	4	animal, container, food, tool
belt buckles	4	animal, fastener, food, seafood
pumpkins	4	animal, food, plant, vegetable
banana splits	4	animal, dessert, tool, vehicle
flamingoes	4	animal, bird, electronic device, food
aquariums	4	container, home decor, sea animal, seafood
squash	4	animal, food, fruit, vegetable
tomatoes	4	animal, food, fruit, vegetable
whales	4	animal, food, mammal, sea animal
machetes	4	animal, food, tool, weapon
buckles	4	accessory, animal, fastener, food
rifles	4	animal, dessert, home decor, weapon
beavers	4	animal, bird, food, sea animal
plungers	4	food, garden tool, tool, weapon
inkwells	4	container, food, school supply, tool
snails	4	animal, food, sea animal, seafood
juicers	4	container, electronic device, food, kitchen tool
grinders	4	electronic device, garden tool, kitchen tool, tool
moths	4	animal, food, insect, tool
bisons	4	animal, food, livestock, mammal
footrests	4	accessory, animal, tool, toy
kegs	4	container, food, mammal, toiletry
green beans	4	food, home decor, tool, vegetable
seals	4	animal, food, mammal, sea animal
staplers	4	food, office supply, school supply, tool
vultures	4	animal, bird, electronic device, food
measuring cups	4	animal, container, food, kitchen tool
eye patches	3	accessory, clothing, medical equipment
chips	3	animal, food, vehicle
pens	3	office supply, school supply, tool
incubators	3	animal, electronic device, food
cheesecake	3	animal, breakfast, food
horses	3	animal, livestock, mammal
cougars	3	animal, food, mammal
bandanas	3	accessory, clothing, headwear
pitchers	3	container, food, tool
syrups	3	breakfast, condiment, food
manatees	3	animal, mammal, sea animal
jugs	3	clothing, container, food
purses	3	accessory, container, food
raincoats	3	clothing, outerwear, protective clothing
chives	3	food, plant, vegetable
monkeys	3	animal, food, mammal
waffles	3	animal, breakfast, food
diapers	3	clothing, food, toiletry
chicken wires	3	food, tool, vehicle
dishwashers	3	electronic device, food, kitchen equipment
scissors	3	garden tool, office supply, tool
wasps	3	animal, food, insect
razor blades	3	electronic device, food, weapon
artichokes	3	fruit, plant, vegetable
slicers	3	food, kitchen equipment, vehicle
cornbread	3	animal, tool, vehicle
fountain pens	3	office supply, school supply, tool
markers	3	electronic device, school supply, tool
cleavers	3	kitchen tool, tool, weapon
mittens	3	accessory, clothing, food
aprons	3	clothing, outerwear, protective clothing
pastries	3	breakfast, dessert, food
blowfish	3	animal, sea animal, seafood
maggots	3	animal, food, insect
boots	3	clothing, food, footwear
fruit punches	3	garden tool, tool, vehicle
guacamole	3	animal, food, vehicle
hotplates	3	electronic device, food, kitchen equipment
cabbages	3	food, plant, vegetable
scarves	3	accessory, clothing, outerwear
folders	3	food, office supply, school supply
muffins	3	breakfast, dessert, food
go-karts	3	animal, food, vehicle
gloves	3	footwear, outerwear, protective clothing
ice creams	3	animal, food, tool
ducks	3	animal, bird, livestock
strollers	3	animal, clothing, food
mosses	3	clothing, container, food
oysters	3	animal, sea animal, seafood
chocolates	3	candy, dessert, food
dressers	3	container, food, furniture
metal detectors	3	electronic device, food, tool
corn	3	food, plant, vegetable
gumdrops	3	animal, candy, food
ink	3	food, office supply, school supply
bees	3	clothing, food, insect
marmalade	3	breakfast, condiment, food
butterflies	3	animal, insect, mammal
watering cans	3	container, food, tool
goats	3	animal, food, livestock
spinach	3	food, plant, vegetable
poppies	3	clothing, food, plant
penguins	3	animal, food, tool
seaweeds	3	food, plant, sea animal
kale	3	food, plant, vegetable
trunks	3	container, home decor, vehicle
pitchforks	3	garden tool, tool, weapon
jellyfish	3	animal, mammal, sea animal
koalas	3	animal, mammal, sea animal
top hats	3	accessory, clothing, headwear
raspberries	3	food, fruit, tool
corsages	3	accessory, clothing, food
poinsettias	3	animal, food, plant
belts	3	accessory, clothing, food
brakes	3	animal, breakfast, food
broccoli	3	animal, plant, vegetable
police cars	3	animal, auto part, vehicle
cufflinks	3	clothing, fastener, jewelry
headscarves	3	clothing, food, headwear
gumballs	3	animal, candy, food
shortbread	3	animal, dessert, food
staples	3	fastener, food, office supply
coveralls	3	clothing, outerwear, protective clothing
noisemakers	3	food, tool, toy
nail clippers	3	animal, toiletry, tool
onions	3	animal, food, vegetable
scalpels	3	medical equipment, tool, weapon
pots	3	animal, container, tool
sardines	3	food, sea animal, seafood
wallpapers	3	animal, food, home decor
fish	3	animal, sea animal, seafood
cookers	3	container, electronic device, kitchen equipment
balloons	3	animal, food, toy
buttons	3	accessory, fastener, tool
christmas trees	3	food, home decor, tool
bunkbeds	3	food, furniture, mammal
files	3	food, office supply, tool
benches	3	animal, food, furniture
doghouses	3	animal, container, food
stoves	3	food, kitchen equipment, kitchen tool
kettles	3	container, food, kitchen tool
dolphins	3	animal, mammal, sea animal
lightning bugs	3	animal, food, insect
tiaras	3	clothing, jewelry, women's clothing
hoes	3	food, garden tool, tool
weasels	3	food, mammal, vehicle
coyotes	3	food, mammal, tool
penlights	3	animal, food, medical equipment
snowshoes	3	clothing, food, footwear
pins	3	fastener, food, tool
staple guns	3	animal, mammal, tool
drills	3	food, garden tool, tool
blazers	2	clothing, outerwear
camels	2	animal, mammal
gazelles	2	food, mammal
ants	2	animal, food
rollerblades	2	container, food
watermelons	2	food, fruit
mosquitoes	2	animal, insect
padlocks	2	fastener, tool
underwear	2	clothing, outerwear
mustard	2	condiment, food
mousse	2	dessert, food
ginger	2	condiment, food
jalapenoes	2	food, vegetable
hash browns	2	breakfast, food
popsicles	2	dessert, food
grapefruits	2	food, fruit
pesto	2	condiment, food
lambs	2	food, mammal
cuckoo clocks	2	food, home decor
mangoes	2	food, fruit
refrigerators	2	food, kitchen equipment
graters	2	kitchen tool, tool
lightbulbs	2	electronic device, tool
cockroaches	2	insect, mammal
snowsuits	2	clothing, outerwear
blackberries	2	food, tool
hourglasses	2	food, home decor
otters	2	animal, mammal
grits	2	breakfast, food
frogs	2	animal, sea animal
roses	2	food, plant
piglets	2	livestock, mammal
mongooses	2	animal, food
lip glosses	2	animal, toiletry
paperclips	2	fastener, office supply
cockatoos	2	animal, bird
submarines	2	vehicle, water vehicle
sailboats	2	vehicle, water vehicle
garlic	2	food, vegetable
crowns	2	clothing, headwear
kangaroos	2	food, mammal
chopsticks	2	food, tool
jackhammers	2	electronic device, tool
pecans	2	food, fruit
eagles	2	animal, food
lions	2	animal, mammal
legos	2	food, toy
swans	2	animal, bird
owls	2	animal, bird
clipboards	2	food, office supply
mice	2	animal, electronic device
shovels	2	garden tool, tool
carrots	2	food, vegetable
beanies	2	clothing, headwear
canes	2	food, medical equipment
ice-cream cones	2	dessert, food
clarinets	2	food, musical instrument
turtles	2	animal, sea animal
sickles	2	garden tool, tool
needles	2	animal, tool
curling irons	2	electronic device, tool
flour	2	animal, food
barrels	2	container, food
eggplants	2	food, vegetable
vials	2	container, medical equipment
canisters	2	container, food
gondolas	2	vehicle, water vehicle
saws	2	tool, weapon
robots	2	animal, toy
omelets	2	breakfast, food
cheeses	2	dessert, food
slingshots	2	toy, weapon
gravy	2	condiment, food
tugboats	2	vehicle, water vehicle
earwigs	2	insect, mammal
lecterns	2	food, furniture
pudding	2	candy, dessert
pugs	2	animal, mammal
chihuahuas	2	animal, mammal
hams	2	breakfast, food
bins	2	container, food
bottle openers	2	kitchen tool, tool
hedgehogs	2	animal, mammal
pomegranates	2	food, fruit
ships	2	vehicle, water vehicle
guinea pigs	2	animal, mammal
coats	2	clothing, outerwear
spacesuits	2	clothing, protective clothing
combination locks	2	fastener, food
peacocks	2	animal, bird
dashboards	2	auto part, tool
ketchup	2	condiment, food
workbenches	2	furniture, tool
pantyhoses	2	clothing, women's clothing
sombreros	2	accessory, clothing
juices	2	drink, fruit
grapevines	2	food, plant
toucans	2	animal, bird
rhinos	2	animal, mammal
food processors	2	food, kitchen equipment
cummerbunds	2	clothing, food
cars	2	animal, food
star fruits	2	food, fruit
wigs	2	food, headwear
screws	2	fastener, tool
cake mixes	2	dessert, food
projectors	2	electronic device, tool
wrap	2	animal, food
candy bars	2	candy, food
crepes	2	dessert, food
books	2	food, school supply
cardinals	2	animal, bird
sea urchins	2	sea animal, seafood
spoons	2	kitchen tool, tool
crackers	2	clothing, food
yo-yos	2	game, toy
tortellini	2	food, tool
harps	2	food, musical instrument
bread	2	breakfast, food
appetizers	2	dessert, food
barnacles	2	mammal, sea animal
applesauce	2	condiment, food
sodas	2	animal, drink
skewers	2	food, kitchen tool
cucumbers	2	food, vegetable
leeks	2	plant, vegetable
lemonades	2	animal, weapon
drums	2	animal, musical instrument
possums	2	animal, mammal
blowtorches	2	tool, weapon
hammers	2	tool, weapon
costumes	2	clothing, home decor
mulberries	2	food, fruit
jump ropes	2	food, game
cords	2	electronic device, tool
pigs	2	animal, food
boats	2	vehicle, water vehicle
ladles	2	food, kitchen tool
french fries	2	breakfast, food
bok choys	2	plant, vegetable
pears	2	clothing, fruit
generators	2	musical instrument, vehicle
oranges	2	food, fruit
lab coats	2	clothing, tool
water bottles	2	container, food
slugs	2	mammal, sea animal
coasters	2	clothing, home decor
arugula	2	food, vegetable
blowers	2	electronic device, tool
brownies	2	dessert, food
sundaes	2	dessert, food
sauces	2	condiment, food
chipmunks	2	animal, mammal
loincloths	2	clothing, headwear
bacon	2	breakfast, food
yachts	2	vehicle, water vehicle
grilles	2	auto part, food
orangutans	2	animal, mammal
shaving cream	2	food, toiletry
pheasants	2	animal, bird
football helmets	2	headwear, protective clothing
stockings	2	footwear, women's clothing
slippers	2	clothing, footwear
hairdryers	2	electronic device, toiletry
flan	2	dessert, food
socks	2	clothing, footwear
glasses	2	accessory, container
seahorses	2	animal, sea animal
clothespins	2	clothing, fastener
washcloths	2	clothing, toiletry
pillboxes	2	container, medical equipment
cobras	2	animal, food
chessboards	2	food, game
trumpets	2	food, musical instrument
pies	2	dessert, food
barrettes	2	fastener, jewelry
tigers	2	animal, mammal
terrariums	2	container, home decor
grasshoppers	2	insect, mammal
dragonflies	2	animal, insect
spark plugs	2	auto part, tool
dogs	2	food, mammal
beans	2	food, fruit
shrimps	2	food, mammal
ponies	2	animal, mammal
worms	2	animal, insect
bushes	2	food, plant
pelicans	2	animal, bird
hamsters	2	animal, mammal
pickaxes	2	tool, weapon
televisions	2	electronic device, food
togas	2	clothing, headwear
coops	2	animal, container
nail files	2	food, toiletry
donuts	2	breakfast, dessert
glue	2	office supply, school supply
cupcakes	2	dessert, food
toothbrushes	2	food, toiletry
light switches	2	electronic device, tool
meerkats	2	animal, mammal
boars	2	animal, livestock
grenades	2	animal, weapon
polar bears	2	animal, mammal
wedding cakes	2	dessert, food
berries	2	food, fruit
hovercrafts	2	vehicle, water vehicle
seagulls	2	animal, bird
platypuses	2	animal, mammal
hawks	2	clothing, toiletry
toolboxes	2	garden tool, tool
outfits	2	clothing, home decor
bowls	2	container, food
gourds	2	home decor, vegetable
coffeemakers	2	animal, kitchen equipment
hippos	2	mammal, sea animal
cotton candy	2	candy, food
aircraft carriers	2	vehicle, water vehicle
syringes	2	container, medical equipment
caviar	2	food, seafood
pinballs	2	electronic device, game
ivy	2	food, tool
machine guns	2	food, weapon
rolling pins	2	kitchen tool, tool
marshmallows	2	candy, food
leotards	2	animal, women's clothing
airplanes	2	animal, vehicle
tapes	2	fastener, office supply
deodorants	2	food, toiletry
veils	2	headwear, women's clothing
armor	2	clothing, protective clothing
stained glass	2	animal, home decor
birdhouses	2	bird, home decor
blenders	2	electronic device, kitchen equipment
notebooks	2	office supply, school supply
llamas	2	animal, mammal
hotdogs	2	animal, food
cheetahs	2	animal, mammal
microwaves	2	electronic device, kitchen equipment
basil	2	food, plant
beets	2	food, vegetable
tubas	2	food, musical instrument
bulldozers	2	food, vehicle
pegs	2	fastener, tool
vases	2	container, home decor
cereals	2	breakfast, food
cranberries	2	food, fruit
music boxes	2	electronic device, toy
salami	2	electronic device, tool
reindeers	2	animal, mammal
hairpins	2	fastener, jewelry
boas	2	clothing, women's clothing
inhalers	2	food, medical equipment
sandbags	2	container, food
rollerskates	2	food, footwear
watches	2	accessory, food
board games	2	food, game
flippers	2	footwear, tool
burners	2	food, kitchen equipment
parsley	2	food, vegetable
catapults	2	food, weapon
hoses	2	garden tool, tool
hairbrush	2	toiletry, tool
closets	2	container, furniture
brussels sprouts	2	food, vegetable
cilantro	2	food, vegetable
orchids	2	animal, plant
scooters	2	toy, vehicle
cloaks	2	clothing, outerwear
bow	2	home decor, jewelry
starfish	2	animal, sea animal
jetskis	2	vehicle, water vehicle
corkscrews	2	kitchen tool, tool
nightstands	2	container, furniture
candy canes	2	candy, food
raisins	2	food, fruit
peppers	2	food, plant
guns	2	food, weapon
sharks	2	sea animal, seafood
sewing machines	2	electronic device, tool
kimonos	2	clothing, women's clothing
sunflowers	2	food, plant
kayaks	2	vehicle, water vehicle
handles	2	food, tool
hats	2	accessory, clothing
coconuts	2	food, fruit
stingrays	2	animal, sea animal
soy sauce	2	condiment, food
donkeys	2	animal, mammal
fishbowls	2	animal, container
calamari	2	food, seafood
oatmeal	2	breakfast, food
sausages	2	breakfast, food
bowties	2	clothing, food
scrambled eggs	2	breakfast, food
butter	2	condiment, food
bedpans	2	container, medical equipment
mushrooms	2	animal, mammal
pandas	2	animal, mammal
airboats	2	vehicle, water vehicle
crystal balls	2	food, home decor
bugs	2	animal, insect
moose	2	mammal, tool
quads	2	animal, vehicle
velcros	2	clothing, fastener
erasers	2	office supply, school supply
daggers	2	tool, weapon
chainsaws	2	electronic device, garden tool
leopards	2	animal, mammal
doorknockers	2	home decor, tool
nutcrackers	2	kitchen tool, tool
crabs	2	animal, sea animal
fur coats	2	clothing, outerwear
octopus	2	animal, sea animal
calculators	2	electronic device, tool
bolo ties	2	accessory, clothing
cookies	2	dessert, food
lemons	2	food, fruit
peppermints	2	candy, food
aardvarks	2	animal, mammal
ferries	2	vehicle, water vehicle
eggs	2	breakfast, food
bell peppers	2	food, vegetable
nails	2	fastener, tool
camcorders	2	electronic device, food
suitcases	1	container
clippers	1	garden tool
hyenas	1	animal
flatirons	1	toiletry
soups	1	food
jerseys	1	clothing
perfumes	1	tool
tents	1	container
sandwiches	1	food
eclairs	1	food
crutches	1	medical equipment
garbage trucks	1	vehicle
raccoons	1	mammal
knives	1	kitchen tool
pizzas	1	food
rocking horses	1	toy
hinges	1	tool
jukeboxes	1	electronic device
groundhogs	1	animal
wrenches	1	tool
toilet paper	1	toiletry
helicopters	1	vehicle
snowplows	1	vehicle
flosses	1	toiletry
dirt bikes	1	vehicle
lanyards	1	accessory
carts	1	vehicle
shears	1	garden tool
beetles	1	insect
steamrollers	1	vehicle
jigsaw puzzles	1	game
knots	1	fastener
hatchets	1	garden tool
iguanas	1	animal
doorhandles	1	tool
shakers	1	container
egg yolks	1	food
combs	1	toiletry
enchiladas	1	food
pancakes	1	food
foxes	1	mammal
thumbtacks	1	tool
wineglasses	1	container
electric chairs	1	electronic device
bagels	1	food
molds	1	container
hairsprays	1	toiletry
piggy banks	1	container
sauerkraut	1	food
pretzels	1	food
unicycles	1	vehicle
polishers	1	tool
wires	1	tool
bamboos	1	food
beachballs	1	toy
rulers	1	school supply
coffins	1	food
wafers	1	food
lip balms	1	toiletry
cashews	1	food
pockets	1	container
vans	1	vehicle
thermometers	1	tool
smoothies	1	drink
microphones	1	electronic device
toaster ovens	1	electronic device
pliers	1	tool
turtlenecks	1	clothing
quiches	1	food
cd players	1	electronic device
birdcages	1	container
limes	1	fruit
laptops	1	electronic device
chalkboards	1	school supply
